Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Survived,Embarked_1.0,Embarked_2.0
271,0.3486158085932607,31.0,0,0,0,1,0,False,True
272,0.311035951396718,0.0,0,0,0,3,1,False,True
273,0.5114618564449456,19.5,1,0,1,2,1,False,True
274,0.4613553801828887,29.7,0,0,1,1,0,False,False
275,0.3486158085932607,7.75,1,0,0,3,1,True,False
276,0.7870474758862583,77.9583,1,1,0,1,1,False,True
277,0.5615683327070025,7.75,1,0,0,3,0,False,True
278,0.3486158085932607,0.0,0,0,0,2,0,False,True
279,0.0855568082174621,29.125,0,4,1,3,0,True,False
280,0.43630214205186024,20.25,1,1,1,3,1,False,True
281,0.8121007140172868,7.75,0,0,0,3,0,True,False
282,0.3486158085932607,7.8542,0,0,0,3,0,False,True
283,0.19829637980709008,9.5,0,0,0,3,0,False,True
284,0.23587623700363275,8.05,0,0,0,3,1,False,True
285,0.3486158085932607,26.0,0,0,0,1,0,False,True
286,0.4112489039208318,8.6625,0,0,0,3,0,False,False
287,0.37366904672428913,9.5,0,0,0,3,1,False,True
288,0.2734560942001754,7.8958,0,0,0,3,0,False,True
289,0.5239884755104598,13.0,0,0,0,2,1,False,True
290,0.2734560942001754,7.75,1,0,0,3,1,True,False
291,0.32356257046223225,78.85,1,0,0,1,1,False,True
292,0.23587623700363275,91.0792,1,1,0,1,1,False,False
293,0.44882876111737446,12.875,0,0,0,2,0,False,False
294,0.2985093323312038,8.85,1,0,0,3,0,False,True
295,0.2985093323312038,7.8958,0,0,0,3,0,False,True
296,0.3486158085932607,27.7208,0,0,0,1,0,False,False
297,0.29224602279844675,7.2292,0,0,0,3,0,False,False
298,0.02292371288989102,151.55,1,1,2,1,0,False,True
299,0.3486158085932607,30.5,0,0,0,1,1,False,True
300,0.6242014280345735,247.5208,1,0,1,1,1,False,False
301,0.3486158085932607,7.75,1,0,0,3,1,True,False
302,0.3486158085932607,23.25,0,2,0,3,1,True,False
303,0.23587623700363275,0.0,0,0,0,3,0,False,True
304,0.3486158085932607,12.35,1,0,0,2,1,True,False
305,0.3486158085932607,8.05,0,0,0,3,0,False,True
306,0.009394964299135665,151.55,0,1,2,1,1,False,True
307,0.3486158085932607,110.8833,1,0,0,1,1,False,False
308,0.2108229988726043,108.9,1,1,0,1,1,False,False
309,0.37366904672428913,24.0,0,1,0,2,0,False,False
310,0.37366904672428913,56.9292,1,0,0,1,1,False,False
311,0.2985093323312038,83.1583,1,0,0,1,1,False,False
312,0.22334961793811853,262.375,1,2,2,1,1,False,False
313,0.32356257046223225,26.0,1,1,1,2,0,False,True
314,0.3486158085932607,7.8958,0,0,0,3,0,False,True
315,0.536515094575974,26.25,0,1,1,2,0,False,True
316,0.32356257046223225,7.8542,1,0,0,3,1,False,True
317,0.2985093323312038,26.0,1,1,0,2,1,False,True
318,0.6743079042966303,14.0,0,0,0,2,0,False,True
319,0.38619566578980336,164.8667,1,0,2,1,1,False,True
320,0.49893523737943135,134.5,1,1,1,1,1,False,False
321,0.2734560942001754,7.25,0,0,0,3,0,False,True
322,0.33608918952774647,7.8958,0,0,0,3,0,False,True
323,0.37366904672428913,12.35,1,0,0,2,1,True,False
324,0.2734560942001754,29.0,1,1,1,2,1,False,True
325,0.3486158085932607,69.55,0,8,2,3,0,False,True
326,0.44882876111737446,135.6333,1,0,0,1,1,False,False
327,0.7619942377552299,6.2375,0,0,0,3,0,False,True
328,0.44882876111737446,13.0,1,0,0,2,1,False,True
329,0.38619566578980336,20.525,1,1,1,3,1,False,True
330,0.19829637980709008,57.9792,1,0,1,1,1,False,False
331,0.3486158085932607,23.25,1,2,0,3,1,True,False
332,0.5678316422397596,28.5,0,0,0,1,0,False,True
333,0.4738819992484029,153.4625,0,0,1,1,0,False,True
334,0.19829637980709008,18.0,0,2,0,3,0,False,True
335,0.3486158085932607,133.65,1,1,0,1,1,False,True
336,0.3486158085932607,7.8958,0,0,0,3,0,False,True
337,0.3611424276587749,66.6,0,1,0,1,0,False,True
338,0.5114618564449456,134.5,1,0,0,1,1,False,False
339,0.5615683327070025,8.05,0,0,0,3,1,False,True
340,0.5615683327070025,35.5,0,0,0,1,0,False,True
341,0.02292371288989102,26.0,0,1,1,2,1,False,True
342,0.2985093323312038,263.0,1,3,2,1,1,False,True
343,0.3486158085932607,13.0,0,0,0,2,0,False,True
344,0.311035951396718,13.0,0,0,0,2,0,False,True
345,0.44882876111737446,13.0,0,0,0,2,0,False,True
346,0.2985093323312038,13.0,1,0,0,2,1,False,True
347,0.49893523737943135,13.0,1,0,0,2,1,False,True
348,0.3486158085932607,16.1,1,1,0,3,1,False,True
349,0.035450331955405236,15.9,0,1,1,3,1,False,True
350,0.5239884755104598,8.6625,0,0,0,3,0,False,True
351,0.28598271326568964,9.225,0,0,0,3,0,False,True
352,0.3486158085932607,35.0,0,0,0,1,0,False,True
353,0.18576976074157586,7.2292,0,1,1,3,0,False,False
354,0.311035951396718,17.8,0,1,0,3,0,False,True
355,0.3486158085932607,7.225,0,0,0,3,0,False,False
356,0.3486158085932607,9.5,0,0,0,3,0,False,True
357,0.2734560942001754,55.0,1,0,1,1,1,False,True
358,0.4738819992484029,13.0,1,0,0,2,0,False,True
359,0.3486158085932607,7.8792,1,0,0,3,1,True,False
360,0.3486158085932607,7.8792,1,0,0,3,1,True,False
361,0.49893523737943135,27.9,0,1,4,3,0,False,True
362,0.3611424276587749,27.7208,0,1,0,2,0,False,False
363,0.5615683327070025,14.4542,1,0,1,3,0,False,False
364,0.43630214205186024,7.05,0,0,0,3,0,False,True
365,0.3486158085932607,15.5,0,1,0,3,0,True,False
366,0.37366904672428913,7.25,0,0,0,3,0,False,True
367,0.7494676186897157,75.25,1,1,0,1,1,False,False
368,0.3486158085932607,7.2292,1,0,0,3,1,False,False
369,0.3486158085932607,7.75,1,0,0,3,1,True,False
370,0.2985093323312038,69.3,1,0,0,1,1,False,False
371,0.311035951396718,55.4417,0,1,0,1,1,False,False
372,0.22334961793811853,6.4958,0,1,0,3,0,False,True
373,0.23587623700363275,8.05,0,0,0,3,0,False,True
374,0.2734560942001754,135.6333,0,0,0,1,0,False,False
375,0.035450331955405236,21.075,1,3,1,3,0,False,True
376,0.3486158085932607,82.1708,1,1,0,1,1,False,False
377,0.2734560942001754,7.25,1,0,0,3,1,False,True
378,0.33608918952774647,211.5,0,0,2,1,0,False,False
379,0.24840285606914697,4.0125,0,0,0,3,0,False,False
380,0.23587623700363275,7.775,0,0,0,3,0,False,True
381,0.5239884755104598,227.525,1,0,0,1,1,False,False
382,0.0103970938243768,15.7417,1,0,2,3,1,False,False
383,0.3987222848553176,7.925,0,0,0,3,0,False,True
384,0.43630214205186024,52.0,1,1,0,1,1,False,True
385,0.3486158085932607,7.8958,0,0,0,3,0,False,True
386,0.22334961793811853,73.5,0,0,0,2,0,False,True
387,0.0103970938243768,46.9,0,5,2,3,0,False,True
388,0.44882876111737446,13.0,1,0,0,2,1,False,True
389,0.3486158085932607,7.7292,0,0,0,3,0,True,False
390,0.2108229988726043,12.0,1,0,0,2,1,False,False
391,0.44882876111737446,120.0,0,1,2,1,1,False,True
392,0.2609294751346612,7.7958,0,0,0,3,1,False,True
393,0.3486158085932607,7.925,0,2,0,3,0,False,True
394,0.28598271326568964,113.275,1,1,0,1,1,False,False
395,0.2985093323312038,16.7,1,0,2,3,1,False,True
396,0.2734560942001754,7.7958,0,0,0,3,0,False,True
397,0.38619566578980336,7.8542,1,0,0,3,0,False,True
398,0.5740949517725167,26.0,0,0,0,2,0,False,True
399,0.28598271326568964,10.5,0,0,0,2,0,False,True
400,0.3486158085932607,12.65,1,0,0,2,1,False,True
401,0.48640861831391713,7.925,0,0,0,3,1,False,True
402,0.32356257046223225,8.05,0,0,0,3,0,False,True
403,0.2609294751346612,9.825,1,1,0,3,0,False,True
404,0.3486158085932607,15.85,0,1,0,3,0,False,True
405,0.24840285606914697,8.6625,1,0,0,3,0,False,True
406,0.423775522986346,21.0,0,1,0,2,0,False,True
407,0.6367280471000877,7.75,0,0,0,3,0,False,True
408,0.035450331955405236,18.75,0,1,1,2,1,False,True
409,0.2609294751346612,7.775,0,0,0,3,0,False,True
410,0.3486158085932607,25.4667,1,3,1,3,0,False,True
411,0.3486158085932607,7.8958,0,0,0,3,0,False,True
412,0.3486158085932607,6.8583,0,0,0,3,0,True,False
413,0.4112489039208318,90.0,1,1,0,1,1,True,False
414,0.3486158085932607,0.0,0,0,0,2,0,False,True
415,0.5490417136414882,7.925,0,0,0,3,1,False,True
416,0.3486158085932607,8.05,1,0,0,3,0,False,True
417,0.423775522986346,32.5,1,1,1,2,1,False,True
418,0.22334961793811853,13.0,1,0,2,2,1,False,True
419,0.37366904672428913,13.0,0,0,0,2,0,False,True
420,0.12313666541400477,24.15,1,0,2,3,0,False,True
421,0.3486158085932607,7.8958,0,0,0,3,0,False,False
422,0.2609294751346612,7.7333,0,0,0,3,0,True,False
423,0.3611424276587749,7.875,0,0,0,3,0,False,True
424,0.3486158085932607,14.4,1,1,1,3,0,False,True
425,0.22334961793811853,20.2125,0,1,1,3,0,False,True
426,0.3486158085932607,7.25,0,0,0,3,0,False,True
427,0.3486158085932607,26.0,1,1,0,2,1,False,True
428,0.23587623700363275,26.0,1,0,0,2,1,False,True
429,0.3486158085932607,7.75,0,0,0,3,0,True,False
430,0.3987222848553176,8.05,0,0,0,3,1,False,True
431,0.3486158085932607,26.55,0,0,0,1,1,False,True
432,0.3486158085932607,16.1,1,1,0,3,1,False,True
433,0.5239884755104598,26.0,1,1,0,2,1,False,True
434,0.2108229988726043,7.125,0,0,0,3,0,False,True
435,0.6242014280345735,55.9,0,1,0,1,0,False,True
436,0.17324314167606164,120.0,1,1,2,1,1,False,True
437,0.2609294751346612,34.375,1,2,2,3,0,False,True
438,0.2985093323312038,18.75,1,2,3,2,1,False,True
439,0.7995740949517726,263.0,0,1,4,1,0,False,True
440,0.38619566578980336,10.5,0,0,0,2,0,False,True
441,0.5615683327070025,26.25,1,1,1,2,1,False,True
442,0.24840285606914697,9.5,0,0,0,3,0,False,True
443,0.311035951396718,7.775,0,1,0,3,0,False,True
444,0.3486158085932607,13.0,1,0,0,2,1,False,True
445,0.3486158085932607,8.1125,0,0,0,3,1,False,True
446,0.04797695102091946,81.8583,0,0,2,1,1,False,True
447,0.16071652261054742,19.5,1,0,1,2,1,False,True
448,0.423775522986346,26.55,0,0,0,1,1,False,True
449,0.06050357008643368,19.2583,1,2,1,3,1,False,False
450,0.6492546661656019,30.5,0,0,0,1,1,False,True
451,0.44882876111737446,27.75,0,1,2,2,0,False,True
452,0.3486158085932607,19.9667,0,1,0,3,0,False,True
453,0.37366904672428913,27.75,0,0,0,1,0,False,False
454,0.6116748089690592,89.1042,0,1,0,1,1,False,False
455,0.3486158085932607,8.05,0,0,0,3,0,False,True
456,0.3611424276587749,7.8958,0,0,0,3,1,False,False
457,0.8121007140172868,26.55,0,0,0,1,0,False,True
458,0.3486158085932607,51.8625,1,1,0,1,1,False,True
459,0.6242014280345735,10.5,1,0,0,2,1,False,True
460,0.3486158085932607,7.75,0,0,0,3,0,True,False
461,0.599148189903545,26.55,0,0,0,1,1,False,True
462,0.423775522986346,8.05,0,0,0,3,0,False,True
463,0.5866215708380309,38.5,0,0,0,1,0,False,True
464,0.599148189903545,13.0,0,0,0,2,0,False,True
465,0.3486158085932607,8.05,0,0,0,3,0,False,True
466,0.4738819992484029,7.05,0,0,0,3,0,False,True
467,0.3486158085932607,0.0,0,0,0,2,0,False,True
468,0.6993611424276588,26.55,0,0,0,1,0,False,True
469,0.3486158085932607,7.725,0,0,0,3,0,True,False
470,0.007265439057998245,19.2583,1,2,1,3,1,False,False
471,0.3486158085932607,7.25,0,0,0,3,0,False,True
472,0.4738819992484029,8.6625,0,0,0,3,0,False,True
473,0.4112489039208318,27.75,1,1,2,2,1,False,True
474,0.28598271326568964,13.7917,1,0,0,2,1,False,False
